1666381386	0	-91.03	-217.25
1666381386	29	-91.01	-217.11
1666381386	59	-90.88	-216.81
1666381386	89	-90.67	-216.44
1666381386	119	-82.34	-199.35
1666381386	150	-77.81	-184.55
1666381386	179	-73.61	-172.34
1666381386	209	-67.10	-135.41
1666381386	239	-56.13	-99.55
1666381386	270	-50.92	-62.42
1666381386	300	-39.53	-32.76
1666381386	329	-24.99	-1.58
1666381386	359	-5.12	30.22
1666381386	389	23.18	54.82
1666381386	419	52.73	77.91
1666381386	450	73.70	109.00
1666381386	479	87.75	143.77
1666381386	509	98.71	179.63
1666381386	1200	103.56	188.38
1666381386	1230	103.58	188.89
1666381386	1259	103.73	189.18
1666381386	1289	104.12	189.57
1666381386	1319	104.58	189.99
1666381386	1350	117.38	198.96
1666381386	1379	117.75	199.40
1666381386	1409	122.21	207.79
1666381386	1439	140.39	240.59
1666381386	1469	163.48	270.14
1666381386	1500	176.92	305.14
1666381386	1529	196.23	337.29
1666381386	1559	208.44	372.75
1666381386	1589	220.03	408.41
1666381386	1619	229.73	444.63
1666381386	1650	233.65	481.93
1666381386	1679	245.24	517.59
1666381386	1710	246.24	527.11
1666381386	1739	240.57	553.78
